hs4_code,year,imports_uganda,unit_value_usd_t
1212,2019,66.8,6928
1212,2021,124.3,11232
1212,2022,146.1,12172
1515,2019,106.9,1381
1515,2021,550.3,1260
1515,2022,164.3,2195
1515,2024,800.0,
1701,2019,77677.8,418
1701,2021,52018.9,517
1701,2022,53877.7,622
1701,2024,38100.0,
1702,2019,3704.2,644
1702,2021,6058.0,637
1702,2022,5714.8,776
1702,2024,3200.0,
1703,2019,1099.0,51
1703,2021,2309.1,53
1703,2022,3887.0,51
1703,2024,200.0,
1704,2019,19872.1,2387
1704,2021,21252.3,2359
1704,2022,25488.0,2251
1704,2024,8200.0,
2102,2019,8374.8,1853
2102,2021,10669.0,1999
2102,2022,10491.5,2175
2102,2024,1200.0,
2202,2019,9190.8,
2202,2021,8147.1,851
2202,2022,10025.5,888
2202,2024,4600.0,
2207,2019,3288.6,864
2207,2021,58.0,1083
2207,2022,927.8,1121
2207,2024,6400.0,
2503,2019,345.5,436
2503,2021,235.8,297
2503,2022,331.5,580
2503,2024,600.0,
2510,2019,1.2,385
2510,2021,135.6,118
2510,2022,4.2,300
2510,2024,200.0,
2520,2019,14185.4,99
2520,2021,9753.0,53
2520,2022,10244.2,54
2520,2024,1800.0,
2521,2019,1384.1,66
2521,2021,109.3,6
2521,2022,1363.3,19
2521,2024,165.0,
2522,2019,1532.1,132
2522,2021,1863.0,104
2522,2022,1366.5,119
2522,2024,1994.0,
2523,2019,82048.9,50
2523,2021,166658.8,58
2523,2022,171409.8,73
2523,2024,162200.0,
2529,2019,22.2,1111
2529,2021,244.7,768
2529,2022,166.4,300
2529,2024,200.0,
2601,2021,5.7,572
2601,2022,9.6,961
2606,2019,9.2,3
2606,2021,20.9,3
2606,2022,60.0,10
2606,2024,203.0,
2608,2019,77.9,3304
2608,2021,433.4,1802
2608,2022,363.3,1762
2608,2024,440.0,
2609,2022,0.2,14875
2621,2019,743.9,108
2621,2021,15.9,959
2621,2022,8.4,883
2621,2024,400.0,
2701,2019,7056.5,88
2701,2021,5913.5,58
2701,2022,12217.7,74
2701,2024,9639.0,
2704,2021,0.2,1200
2709,2019,7.9,1151
2709,2021,18.1,
2709,2022,146.3,1903
2710,2019,1204784.5,641
2710,2021,1236043.5,647
2710,2022,1976056.1,1010
2710,2024,420000.0,
2711,2019,11601.4,622
2711,2021,19966.5,
2711,2022,30075.1,907
2711,2024,18000.0,
2713,2019,6734.5,403
2713,2021,7092.3,378
2713,2022,4317.3,524
2713,2024,9578.0,
2803,2019,1280.7,1171
2803,2021,1821.5,1044
2803,2022,2357.0,1201
2803,2024,1800.0,
2804,2019,365.6,1777
2804,2021,919.2,2568
2804,2022,1084.3,3352
2804,2024,501.0,
2806,2019,415.5,202
2806,2021,727.2,271
2806,2022,1166.4,314
2806,2024,823.0,
2807,2019,1039.6,262
2807,2021,1085.6,279
2807,2022,1435.0,360
2807,2024,1306.0,
2809,2019,399.0,949
2809,2021,479.7,1295
2809,2022,1365.0,
2809,2024,800.0,
2811,2019,781.2,535
2811,2021,726.8,939
2811,2022,1004.4,998
2811,2024,2256.0,
2814,2019,103.9,651
2814,2021,146.6,902
2814,2022,190.6,1134
2814,2024,1500.0,
2815,2019,12655.0,542
2815,2021,13222.1,
2815,2022,21569.5,904
2815,2024,15137.0,
2818,2019,60.0,1580
2818,2021,57.0,1083
2818,2022,116.3,1136
2818,2024,86.0,
2819,2019,7.6,1509
2819,2021,26.8,4575
2819,2022,15.1,3020
2819,2024,52.0,
2826,2019,1.9,1717
2826,2021,20.0,5008
2826,2022,60.7,5358
2826,2024,57.0,
2827,2019,3731.9,1136
2827,2021,3452.5,1034
2827,2022,3755.4,1190
2827,2024,5247.0,
2836,2019,9600.1,195
2836,2021,9702.6,202
2836,2022,13435.4,260
2836,2024,3200.0,
2901,2019,186.1,1127
2901,2021,320.0,1324
2901,2022,610.4,1852
2918,2019,1225.7,1223
2918,2021,1838.8,1772
2918,2022,4849.5,1975
2918,2024,2800.0,
2941,2019,3877.5,35414
