1	2	3,1,2,3
1,2,3
Bilateral 4 digits,Importers,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,Exported value in 2025
,World,"99,431","110,713","138,428","140,148","132,858"
,Germany,"4,823","22,835","26,895","27,836","29,975"
,United States of America,"7,784","11,459","10,195","26,935","22,378"
,United Arab Emirates,"10,757","16,035","25,974","20,684","20,505"
,Ethiopia,"14,668","13,857","18,677","17,321","16,129"
,Algeria,"3,616","17,034","21,981","27,684","14,318"
,Türkiye,"14,763","11,393","13,255","10,056","10,339"
,"Congo, Democratic Republic of the","4,706","5,203","5,089","4,962","7,035"
,Qatar,"9,388","7,385","6,212",,"3,256"
,United Kingdom,40,104,"2,737","2,226","1,543"
,Egypt,,,,,"1,050"
,Netherlands,"11,764",,"3,328",,951
,Kenya,"1,554",209,"1,567",634,949
,Saudi Arabia,7,,,,949
,Rwanda,677,42,191,373,871
,"Tanzania, United Republic of",70,56,26,75,577
,Ireland,3,8,,,529
,South Sudan,557,658,838,671,366
,Sudan,,,,,317
,South Africa,800,670,635,271,286
,Burundi,61,80,115,108,160
,Azerbaijan,,,,,126
,"Hong Kong, China",,,,2,113
,"Moldova, Republic of",,,,,49
,Switzerland,13,,0,12,37
1	2	3,1,2,3
1,2,3
