1	2	3,1,2,3
1,2,3
Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"7,691","8,359","5,194","4,927","6,652"
,China,"4,534","4,466",967,"1,569","2,183"
,India,"1,601","1,653","2,438","2,057","1,959"
,Türkiye,96,354,643,327,548
,Bangladesh,38,62,67,115,401
,Portugal,2,,94,,379
,United Arab Emirates,104,145,13,95,219
,"Tanzania, United Republic of",67,116,244,239,195
,South Africa,130,203,176,150,132
,Morocco,0,,29,5,116
,Kenya,651,332,142,166,111
,Pakistan,11,12,7,5,71
,Madagascar,0,,5,28,68
,Rwanda,0,,,,53
,United States of America,17,16,32,20,49
,Sri Lanka,1,5,3,11,27
,Thailand,261,247,119,42,27
,Egypt,0,11,15,3,17
,France,1,8,12,,15
,Eswatini,0,,,4,11
,United Kingdom,18,10,12,11,9
,Netherlands,1,,,1,8
,Mauritius,0,,,13,7
,Spain,6,1,2,1,7
,Myanmar,0,565,1,,6
1	2	3,1,2,3
1,2,3
