Bilateral 4 digits,Importers,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024
,World,"21,874","36,910","59,875","55,298","55,849"
,South Sudan,"15,235","23,888","38,861","39,002","31,663"
,"Congo, Democratic Republic of the","5,726","7,515","10,248","12,067","14,592"
,Kenya,8,94,"4,263",414,"5,882"
,Rwanda,0,,516,"2,542","2,898"
,Burundi,865,"2,979","3,282","1,221",541
,Sudan,0,,,,216
,"Tanzania, United Republic of",39,"2,407","2,662",52,57
,Somalia,0,5,,,
,Congo,0,21,44,,
