Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,719,"2,646","5,690","2,725","10,853"
,China,2,958,"1,296","1,676","7,557"
,Egypt,,,,,"1,849"
,Kenya,581,"1,512","4,288",768,"1,374"
,India,134,30,32,85,68
,Sri Lanka,,,,,2
,Malaysia,,,,,2
,South Africa,,,,97,2
,Germany,,,,99,
,Japan,,,5,,
,Poland,,,32,,
,Portugal,,,1,,
,United Arab Emirates,1,,,,
,Türkiye,,146,7,,
,"Tanzania, United Republic of",,,29,,
,United States of America,1,,,,
