1	2,1,2
1,2
Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"7,434","10,719","17,078","49,557","24,809"
,India,"4,666","8,575","10,429","21,112","13,338"
,China,981,"1,189","6,059","15,271","6,788"
,Italy,183,4,38,"8,406","1,410"
,United States of America,"1,011",295,370,621,896
,Finland,,,,,752
,Chinese Taipei,250,523,39,498,624
,Türkiye,2,6,27,,583
,United Kingdom,,,,,237
,Indonesia,,,,,98
,"Hong Kong, China",2,2,,7,38
,United Arab Emirates,1,,72,,14
,Japan,14,43,30,5,11
,Thailand,,,,"2,959",11
,Spain,24,,2,7,7
,Singapore,,,,,2
,Germany,,,,673,1
,Sri Lanka,,7,,,
,France,11,,2,,
,Ghana,,35,,,
,Malaysia,6,,,,
,Mauritius,,3,,,
,Netherlands,3,,,,
,South Africa,28,8,,,
,Eswatini,200,,,,
1	2,1,2
1,2
