1	2	3	4,1,2,3,4
1,2,3,4
Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"38,430","31,733","36,185","48,254","57,708"
,China,"12,181","20,900","18,071","26,421","36,786"
,India,"12,975","4,246","5,748","6,736","7,496"
,Egypt,228,277,145,379,"3,677"
,Zambia,"2,255","3,127","4,917","5,603","3,386"
,Kenya,"6,772",831,695,"1,104","1,214"
,Italy,111,96,165,355,631
,United States of America,218,50,115,"1,093",602
,United Arab Emirates,412,356,417,504,567
,Türkiye,268,231,9,17,552
,Sri Lanka,114,,10,88,534
,Germany,273,212,254,"2,091",390
,United Kingdom,157,172,906,"1,167",245
,Viet Nam,0,41,26,5,239
,Indonesia,7,,,2,213
,"Tanzania, United Republic of",48,11,"1,876","1,379",174
,"Korea, Republic of",4,100,315,,151
,Lebanon,305,173,94,,134
,South Africa,"1,061",125,558,107,126
,Saudi Arabia,0,,289,215,107
,Netherlands,55,237,72,38,67
,Switzerland,141,10,6,7,57
,Mexico,0,2,6,9,43
,France,52,54,33,153,36
,Finland,8,1,33,,28
1	2	3	4,1,2,3,4
1,2,3,4
